Date,Symbol,Close
7/13/2017,NVDA,160.63
7/14/2017,NVDA,164.95
7/17/2017,NVDA,164.25
7/18/2017,NVDA,165.96
7/19/2017,NVDA,165.1
7/20/2017,NVDA,167.5
7/21/2017,NVDA,168.1
7/24/2017,NVDA,166.15
7/25/2017,NVDA,165.35
7/26/2017,NVDA,167.26
7/27/2017,NVDA,161.74
7/28/2017,NVDA,164.39
7/31/2017,NVDA,162.51
8/1/2017,NVDA,164.49
8/2/2017,NVDA,164.39
8/3/2017,NVDA,166.48
8/4/2017,NVDA,167.21
8/7/2017,NVDA,172.35
8/8/2017,NVDA,170.3
8/9/2017,NVDA,172.11
8/10/2017,NVDA,164.74
8/11/2017,NVDA,155.96
8/14/2017,NVDA,168.4
8/15/2017,NVDA,166.98
8/16/2017,NVDA,165.15
8/17/2017,NVDA,161.47
8/18/2017,NVDA,161.5
8/21/2017,NVDA,159.15
8/22/2017,NVDA,162.55
8/23/2017,NVDA,165.8
8/24/2017,NVDA,165.19
8/25/2017,NVDA,163.81
8/28/2017,NVDA,164.97
8/29/2017,NVDA,164.7
8/30/2017,NVDA,165.68
8/31/2017,NVDA,169.44
9/1/2017,NVDA,170.46
9/5/2017,NVDA,165.91
9/6/2017,NVDA,165.81
9/7/2017,NVDA,166.58
9/8/2017,NVDA,163.69
9/11/2017,NVDA,169
9/12/2017,NVDA,169.61
9/13/2017,NVDA,170.37
9/14/2017,NVDA,169.4
9/15/2017,NVDA,180.11
9/18/2017,NVDA,187.55
9/19/2017,NVDA,187.35
9/20/2017,NVDA,185.84
9/21/2017,NVDA,180.76
9/22/2017,NVDA,179
9/25/2017,NVDA,171
9/26/2017,NVDA,171.96
9/27/2017,NVDA,175.73
9/28/2017,NVDA,175.68
9/29/2017,NVDA,178.77
10/2/2017,NVDA,179
10/3/2017,NVDA,179.37
10/4/2017,NVDA,180.87
10/5/2017,NVDA,180.77
10/6/2017,NVDA,181.3
10/9/2017,NVDA,185.39
10/10/2017,NVDA,188.93
10/11/2017,NVDA,190.94
10/12/2017,NVDA,191.03
10/13/2017,NVDA,194.59
10/16/2017,NVDA,197.93
10/17/2017,NVDA,197.75
10/18/2017,NVDA,197.58
10/19/2017,NVDA,197.8
10/20/2017,NVDA,196.9
10/23/2017,NVDA,196.62
10/24/2017,NVDA,198.68
10/25/2017,NVDA,193.66
10/26/2017,NVDA,195.69
10/27/2017,NVDA,201.86
10/30/2017,NVDA,203.84
10/31/2017,NVDA,206.81
11/1/2017,NVDA,207.2
11/2/2017,NVDA,205.94
11/3/2017,NVDA,208.69
11/6/2017,NVDA,209.63
11/7/2017,NVDA,212.03
11/8/2017,NVDA,209.16
11/9/2017,NVDA,205.32
11/10/2017,NVDA,216.14
11/13/2017,NVDA,212.63
11/14/2017,NVDA,214.18
11/15/2017,NVDA,209.98
11/16/2017,NVDA,211.61
11/17/2017,NVDA,211.36
11/20/2017,NVDA,214.08
11/21/2017,NVDA,216.05
11/22/2017,NVDA,214.93
11/24/2017,NVDA,216.96
11/27/2017,NVDA,214.14
11/28/2017,NVDA,210.71
11/29/2017,NVDA,196.42
11/30/2017,NVDA,200.71
12/1/2017,NVDA,197.68
12/4/2017,NVDA,186.66
12/5/2017,NVDA,187.74
12/6/2017,NVDA,189.26
12/7/2017,NVDA,191.99
12/8/2017,NVDA,191.49
12/11/2017,NVDA,194.66
12/12/2017,NVDA,190.84
12/13/2017,NVDA,186.18
12/14/2017,NVDA,186.47
12/15/2017,NVDA,191.56
12/18/2017,NVDA,197.9
12/19/2017,NVDA,196.11
12/20/2017,NVDA,196.8
12/21/2017,NVDA,195.89
12/22/2017,NVDA,195.27
12/26/2017,NVDA,197.44
12/27/2017,NVDA,197.17
12/28/2017,NVDA,197.4
12/29/2017,NVDA,193.5
1/2/2018,NVDA,199.35
1/3/2018,NVDA,212.47
1/4/2018,NVDA,213.59
1/5/2018,NVDA,215.4
1/8/2018,NVDA,222
1/9/2018,NVDA,221.94
1/10/2018,NVDA,223.68
1/11/2018,NVDA,224.08
1/12/2018,NVDA,222.98
1/16/2018,NVDA,220.11
1/17/2018,NVDA,224.72
1/18/2018,NVDA,224.44
1/19/2018,NVDA,230.11
1/22/2018,NVDA,233.69
1/23/2018,NVDA,238.91
1/24/2018,NVDA,235.8
1/25/2018,NVDA,236.35
1/26/2018,NVDA,243.33
1/29/2018,NVDA,246.85
1/30/2018,NVDA,242.72
1/31/2018,NVDA,245.8
2/1/2018,NVDA,240.5
2/2/2018,NVDA,233.52
2/5/2018,NVDA,213.7
2/6/2018,NVDA,225.58
2/7/2018,NVDA,228.8
2/8/2018,NVDA,217.52
2/9/2018,NVDA,232.08
2/12/2018,NVDA,228.03
2/13/2018,NVDA,232.63
2/14/2018,NVDA,241.42
2/15/2018,NVDA,246.5
2/16/2018,NVDA,243.84
2/20/2018,NVDA,249.08
2/21/2018,NVDA,241.51
2/22/2018,NVDA,242.15
2/23/2018,NVDA,245.93
2/26/2018,NVDA,246.58
2/27/2018,NVDA,246.06
2/28/2018,NVDA,242
3/1/2018,NVDA,232.21
3/2/2018,NVDA,236.54
3/5/2018,NVDA,235.65
3/6/2018,NVDA,242.16
3/7/2018,NVDA,241.84
3/8/2018,NVDA,241.18
3/9/2018,NVDA,245.33
3/12/2018,NVDA,249.76
3/13/2018,NVDA,247.71
3/14/2018,NVDA,248.74
3/15/2018,NVDA,249.34
3/16/2018,NVDA,250.48
3/19/2018,NVDA,241
3/20/2018,NVDA,249.58
3/21/2018,NVDA,248.56
3/22/2018,NVDA,241.85
3/23/2018,NVDA,232.97
3/26/2018,NVDA,244.48
3/27/2018,NVDA,225.52
3/28/2018,NVDA,221.35
3/29/2018,NVDA,231.59
4/2/2018,NVDA,221.05
4/3/2018,NVDA,225.35
4/4/2018,NVDA,226.24
4/5/2018,NVDA,221.38
4/6/2018,NVDA,214.25
4/9/2018,NVDA,215.41
4/10/2018,NVDA,227.91
4/11/2018,NVDA,226.24
4/12/2018,NVDA,234.6
4/13/2018,NVDA,231.5
4/16/2018,NVDA,231.49
4/17/2018,NVDA,237.54
4/18/2018,NVDA,236.37
4/19/2018,NVDA,229.04
4/20/2018,NVDA,228.71
4/23/2018,NVDA,223.88
4/24/2018,NVDA,221.2
4/25/2018,NVDA,216.66
4/26/2018,NVDA,225.22
4/27/2018,NVDA,226.33
4/30/2018,NVDA,224.9
5/1/2018,NVDA,227.14
5/2/2018,NVDA,226.31
5/3/2018,NVDA,232.99
5/4/2018,NVDA,239.06
5/7/2018,NVDA,248.68
5/8/2018,NVDA,250.4
5/9/2018,NVDA,255.78
5/10/2018,NVDA,260.13
5/11/2018,NVDA,254.53
5/14/2018,NVDA,255.36
5/15/2018,NVDA,245.56
5/16/2018,NVDA,246.01
5/17/2018,NVDA,247.71
5/18/2018,NVDA,245.94
5/21/2018,NVDA,244.24
5/22/2018,NVDA,242.7
5/23/2018,NVDA,247.54
5/24/2018,NVDA,247.69
5/25/2018,NVDA,249.28
5/29/2018,NVDA,248.59
5/30/2018,NVDA,252.99
5/31/2018,NVDA,252.19
6/1/2018,NVDA,257.62
6/4/2018,NVDA,264.85
6/5/2018,NVDA,265.07
6/6/2018,NVDA,265.15
6/7/2018,NVDA,262.9
6/8/2018,NVDA,262.28
6/11/2018,NVDA,260.62
6/12/2018,NVDA,262.58
6/13/2018,NVDA,262.4
6/14/2018,NVDA,266.91
6/15/2018,NVDA,265.26
6/18/2018,NVDA,265.09
6/19/2018,NVDA,260.17
6/20/2018,NVDA,262.31
6/21/2018,NVDA,257.11
6/22/2018,NVDA,250.95
6/25/2018,NVDA,239.12
6/26/2018,NVDA,241.99
6/27/2018,NVDA,235.72
6/28/2018,NVDA,235.72
6/29/2018,NVDA,236.9
7/2/2018,NVDA,242.24
7/3/2018,NVDA,236.84
7/5/2018,NVDA,242.73
7/6/2018,NVDA,247.33
7/9/2018,NVDA,249.25
7/10/2018,NVDA,253.25
7/11/2018,NVDA,253.25
7/12/2018,NVDA,251.23
7/13/2018,NVDA,249.32
