Date,PWR
7/18/2018 16:00,33.18
7/19/2018 16:00,33.4
7/20/2018 16:00,33.29
7/23/2018 16:00,32.82
7/24/2018 16:00,33.07
7/25/2018 16:00,33.73
7/26/2018 16:00,33.65
7/27/2018 16:00,33.7
7/30/2018 16:00,33.28
7/31/2018 16:00,34.07
8/1/2018 16:00,34.1
8/2/2018 16:00,35.11
8/3/2018 16:00,34.92
8/6/2018 16:00,35.08
8/7/2018 16:00,34.75
8/8/2018 16:00,34.82
8/9/2018 16:00,34.7
8/10/2018 16:00,34.45
8/13/2018 16:00,33.7
8/14/2018 16:00,34.02
8/15/2018 16:00,33.94
8/16/2018 16:00,33.18
8/17/2018 16:00,34.14
8/20/2018 16:00,34.12
8/21/2018 16:00,34.45
8/22/2018 16:00,34.17
8/23/2018 16:00,34
8/24/2018 16:00,33.77
8/27/2018 16:00,33.99
8/28/2018 16:00,34.12
8/29/2018 16:00,34.69
8/30/2018 16:00,34.45
8/31/2018 16:00,34.59
9/4/2018 16:00,33.96
